Area,Year,Variable,Value_efficiency,Unit,Variable_GDP per capita,Value_GDP per capita,Unit_GDP per capita,Variable_Total population with access to safe drinking-water (JMP),Value_Total population with access to safe drinking-water (JMP),Unit_Total population with access to safe drinking-water (JMP),Variable_Population affected by water related disease,Value_Population affected by water related disease,Unit_Population affected by water related disease,Variable_Gender Inequality Index (GII) [equality = 0; inequality = 1),Value_Gender Inequality Index (GII) [equality = 0; inequality = 1),Unit_Gender Inequality Index (GII) [equality = 0; inequality = 1),Variable_Human Development Index (HDI) [highest = 1],Value_Human Development Index (HDI) [highest = 1],Unit_Human Development Index (HDI) [highest = 1],Variable_Total renewable water resources per capita,Value_Total renewable water resources per capita,Unit_Total renewable water resources per capita,Variable_Agricultural water withdrawal as % of total water withdrawal,Value_Agricultural water withdrawal as % of total water withdrawal,Unit_Agricultural water withdrawal as % of total water withdrawal,Variable_Industrial water withdrawal as % of total water withdrawal,Value_Industrial water withdrawal as % of total water withdrawal,Unit_Industrial water withdrawal as % of total water withdrawal
Algeria,2010,SDG 6.4.1. Water Use Efficiency,16.242201179,US$/m3,GDP per capita,4495.921455,current US$/inhab,Total population with access to safe drinking-water (JMP),85.7,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.505,,Human Development Index (HDI) [highest = 1],0.73,,Total renewable water resources per capita,325.381751135,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.348372837,%,Industrial water withdrawal as % of total water withdrawal,5.396882859,%
Algeria,2011,SDG 6.4.1. Water Use Efficiency,16.293448044,US$/m3,GDP per capita,5473.446128,current US$/inhab,Total population with access to safe drinking-water (JMP),85.3,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.478333333,,Human Development Index (HDI) [highest = 1],0.738,,Total renewable water resources per capita,319.262985489,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.286698924,%,Industrial water withdrawal as % of total water withdrawal,5.154548566,%
Algeria,2012,SDG 6.4.1. Water Use Efficiency,16.109213317,US$/m3,GDP per capita,5610.73334,current US$/inhab,Total population with access to safe drinking-water (JMP),84.9,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.451666667,,Human Development Index (HDI) [highest = 1],0.737,,Total renewable water resources per capita,313.119262315,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,59.228486647,%,Industrial water withdrawal as % of total water withdrawal,4.925816024,%
Algeria,2013,SDG 6.4.1. Water Use Efficiency,15.652451515,US$/m3,GDP per capita,5519.777577,current US$/inhab,Total population with access to safe drinking-water (JMP),84.5,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.425,,Human Development Index (HDI) [highest = 1],0.746,,Total renewable water resources per capita,307.021258018,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,61.604017653,%,Industrial water withdrawal as % of total water withdrawal,3.621975346,%
Algeria,2014,SDG 6.4.1. Water Use Efficiency,15.637668909,US$/m3,GDP per capita,5516.229432,current US$/inhab,Total population with access to safe drinking-water (JMP),84.0,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4131,,Human Development Index (HDI) [highest = 1],0.749,,Total renewable water resources per capita,301.004887285,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,63.803905763,%,Industrial water withdrawal as % of total water withdrawal,2.414538526,%
Algeria,2015,SDG 6.4.1. Water Use Efficiency,15.372739172,US$/m3,GDP per capita,4197.417287,current US$/inhab,Total population with access to safe drinking-water (JMP),83.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4131,,Human Development Index (HDI) [highest = 1],0.751,,Total renewable water resources per capita,295.044750351,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,65.846936612,%,Industrial water withdrawal as % of total water withdrawal,1.293194827,%
Algeria,2016,SDG 6.4.1. Water Use Efficiency,15.005921281,US$/m3,GDP per capita,3967.200545,current US$/inhab,Total population with access to safe drinking-water (JMP),83.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4131,,Human Development Index (HDI) [highest = 1],0.755,,Total renewable water resources per capita,289.221469202,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,64.141110443,%,Industrial water withdrawal as % of total water withdrawal,1.884145119,%
Algeria,2017,SDG 6.4.1. Water Use Efficiency,14.547354307,US$/m3,GDP per capita,4134.936054,current US$/inhab,Total population with access to safe drinking-water (JMP),83.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4131,,Human Development Index (HDI) [highest = 1],0.758,,Total renewable water resources per capita,283.616422244,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,63.764098643,%,Industrial water withdrawal as % of total water withdrawal,1.825654751,%
Algeria,2018,SDG 6.4.1. Water Use Efficiency,14.748072586,US$/m3,GDP per capita,4171.795392,current US$/inhab,Total population with access to safe drinking-water (JMP),83.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4131,,Human Development Index (HDI) [highest = 1],0.759,,Total renewable water resources per capita,278.269326499,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,63.764098643,%,Industrial water withdrawal as % of total water withdrawal,1.825654751,%
Algeria,2019,SDG 6.4.1. Water Use Efficiency,14.772620122,US$/m3,GDP per capita,4021.983255,current US$/inhab,Total population with access to safe drinking-water (JMP),83.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4131,,Human Development Index (HDI) [highest = 1],0.759,,Total renewable water resources per capita,273.197505288,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,63.764098643,%,Industrial water withdrawal as % of total water withdrawal,1.825654751,%
Algeria,2020,SDG 6.4.1. Water Use Efficiency,13.885498178,US$/m3,GDP per capita,3354.153164,current US$/inhab,Total population with access to safe drinking-water (JMP),83.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4131,,Human Development Index (HDI) [highest = 1],0.759,,Total renewable water resources per capita,268.505239822,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,63.764098643,%,Industrial water withdrawal as % of total water withdrawal,1.825654751,%
Algeria,2021,SDG 6.4.1. Water Use Efficiency,14.555892852,US$/m3,GDP per capita,3700.324057,current US$/inhab,Total population with access to safe drinking-water (JMP),83.6,%,,,,Gender Inequality Index (GII) [equality = 0; inequality = 1),0.4131,,Human Development Index (HDI) [highest = 1],0.759,,Total renewable water resources per capita,264.090909204,m3/inhab/year,Agricultural water withdrawal as % of total water withdrawal,63.764098643,%,Industrial water withdrawal as % of total water withdrawal,1.825654751,%
Andorra,2005,,,,GDP per capita,39583.985995,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.819,,Total renewable water resources per capita,3953.599077995,m3/inhab/year,,,,,,
Andorra,2006,,,,GDP per capita,43084.24622,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.829,,Total renewable water resources per capita,3934.131960459,m3/inhab/year,,,,,,
Andorra,2007,,,,GDP per capita,50562.829252,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.829,,Total renewable water resources per capita,4037.457783236,m3/inhab/year,,,,,,
Andorra,2008,,,,GDP per capita,53721.434002,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.831,,Total renewable water resources per capita,4149.62855828,m3/inhab/year,,,,,,
Andorra,2009,,,,GDP per capita,49750.66724,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.83,,Total renewable water resources per capita,4273.411688241,m3/inhab/year,,,,,,
Andorra,2010,,,,GDP per capita,48190.908724,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.828,,Total renewable water resources per capita,4412.813378263,m3/inhab/year,,,,,,
Andorra,2011,,,,GDP per capita,51360.922655,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.827,,Total renewable water resources per capita,4472.345430584,m3/inhab/year,,,,,,
Andorra,2012,,,,GDP per capita,44904.881275,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.849,,Total renewable water resources per capita,4444.256685396,m3/inhab/year,,,,,,
Andorra,2013,,,,GDP per capita,44735.004778,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.846,,Total renewable water resources per capita,4422.211946698,m3/inhab/year,,,,,,
Andorra,2014,,,,GDP per capita,45619.78255,current US$/inhab,Total population with access to safe drinking-water (JMP),100.0,%,,,,,,,Human Development Index (HDI) [highest = 1],0.853,,Total renewable water resources per capita,4406.528811382,m3/inhab/year,,,,,,
