Country,Year,Value - GDP per capita,Unit - GDP per capita,Value - HDI,Unit - HDI,Value - Water Use Efficiency,Unit - Water Use Efficiency,Value - Water Stress,Unit - Water Stress,Value - Total population with access to safe drinking-water,Unit - Total population with access to safe drinking-water,Value - Total renewable water resources per capita,Unit - Total renewable water resources per capita
Andorra,2014,45619.78255,current US$/inhab,0.853,,,,,,100.0,%,4406.528811382,m3/inhab/year
Andorra,2015,38869.87078,current US$/inhab,0.85,,,,,,100.0,%,4398.851503917,m3/inhab/year
Andorra,2016,39904.138186,current US$/inhab,0.854,,,,,,100.0,%,4350.70306038,m3/inhab/year
Andorra,2017,40632.206414,current US$/inhab,0.852,,,,,,100.0,%,4274.279832604,m3/inhab/year
Andorra,2018,42904.822577,current US$/inhab,0.857,,,,,,100.0,%,4207.270739738,m3/inhab/year
Andorra,2019,41328.634086,current US$/inhab,0.857,,,,,,100.0,%,4133.974300198,m3/inhab/year
Andorra,2020,37207.175637,current US$/inhab,0.857,,,,,,100.0,%,4061.776061776,m3/inhab/year
Andorra,2021,42066.041564,current US$/inhab,0.857,,,,,,100.0,%,3993.218108662,m3/inhab/year
Angola,2005,1900.722637,current US$/inhab,0.453,,84.817178271,US$/m3,1.871883289,%,46.0,%,7629.443874721,m3/inhab/year
Angola,2006,2597.963585,current US$/inhab,0.466,,93.836267744,US$/m3,1.871883289,%,46.2,%,7360.25679559,m3/inhab/year
Angola,2007,3121.348735,current US$/inhab,0.482,,108.362425817,US$/m3,1.871883289,%,46.4,%,7097.189991011,m3/inhab/year
Angola,2008,4081.717497,current US$/inhab,0.494,,118.083638443,US$/m3,1.871883289,%,46.6,%,6841.382545678,m3/inhab/year
Angola,2009,3123.698754,current US$/inhab,0.508,,117.162399556,US$/m3,1.871883289,%,46.9,%,6593.306798383,m3/inhab/year
Angola,2010,3586.663902,current US$/inhab,0.51,,124.447775847,US$/m3,1.871883289,%,47.1,%,6351.601821335,m3/inhab/year
Angola,2011,4608.155097,current US$/inhab,0.525,,129.923018564,US$/m3,1.871883289,%,47.5,%,6117.289293907,m3/inhab/year
Angola,2012,5083.82678,current US$/inhab,0.537,,143.129046724,US$/m3,1.871883289,%,47.8,%,5891.626157105,m3/inhab/year
Angola,2013,5228.511165,current US$/inhab,0.547,,149.639706246,US$/m3,1.871883289,%,48.2,%,5675.602885562,m3/inhab/year
Angola,2014,5371.216647,current US$/inhab,0.557,,151.75888709,US$/m3,1.871883289,%,48.6,%,5470.294769635,m3/inhab/year
Angola,2015,4130.930035,current US$/inhab,0.565,,149.212257589,US$/m3,1.871883289,%,49.0,%,5275.934015415,m3/inhab/year
Angola,2016,3468.520357,current US$/inhab,0.57,,143.815153553,US$/m3,1.871883289,%,49.0,%,5090.080359472,m3/inhab/year
Angola,2017,4042.681402,current US$/inhab,0.576,,142.493175261,US$/m3,1.871883289,%,49.0,%,4912.503805204,m3/inhab/year
Angola,2018,3240.862224,current US$/inhab,0.574,,143.092524846,US$/m3,1.871883289,%,49.0,%,4745.226578654,m3/inhab/year
Angola,2019,2569.629791,current US$/inhab,0.574,,143.244234069,US$/m3,1.871883289,%,49.0,%,4586.81738792,m3/inhab/year
Angola,2020,1750.204252,current US$/inhab,0.574,,124.354186492,US$/m3,1.871883289,%,49.0,%,4439.327584264,m3/inhab/year
Angola,2021,2257.75873,current US$/inhab,0.574,,118.83937295,US$/m3,1.871883289,%,49.0,%,4300.978785683,m3/inhab/year
Antigua and Barbuda,2005,12708.07799,current US$/inhab,0.773,,126.794198898,US$/m3,9.807692308,%,97.8,%,651.066120773,m3/inhab/year
Antigua and Barbuda,2006,14203.917745,current US$/inhab,0.779,,135.239414237,US$/m3,9.615384615,%,97.8,%,642.808579022,m3/inhab/year
Antigua and Barbuda,2007,15879.692853,current US$/inhab,0.784,,138.547277844,US$/m3,9.423076923,%,97.9,%,634.022629731,m3/inhab/year
Antigua and Barbuda,2008,16457.104059,current US$/inhab,0.783,,135.005684792,US$/m3,9.230769231,%,97.9,%,624.617121716,m3/inhab/year
Antigua and Barbuda,2009,14530.598694,current US$/inhab,0.776,,115.633405309,US$/m3,9.038461539,%,97.9,%,615.137104597,m3/inhab/year
Antigua and Barbuda,2010,13404.516016,current US$/inhab,0.772,,101.003038436,US$/m3,8.846153846,%,97.9,%,606.803197386,m3/inhab/year
Antigua and Barbuda,2011,13117.14694,current US$/inhab,0.764,,94.798221639,US$/m3,8.653846154,%,97.9,%,599.568771691,m3/inhab/year
Antigua and Barbuda,2012,13686.476584,current US$/inhab,0.767,,93.457366868,US$/m3,8.461538461,%,97.9,%,593.106280083,m3/inhab/year
Antigua and Barbuda,2013,13350.149135,current US$/inhab,0.767,,93.708221562,US$/m3,8.461538461,%,97.9,%,587.590539792,m3/inhab/year
Antigua and Barbuda,2014,14004.811208,current US$/inhab,0.767,,97.162187102,US$/m3,8.461538461,%,97.9,%,582.72446098,m3/inhab/year
Antigua and Barbuda,2015,14861.882712,current US$/inhab,0.77,,100.597007446,US$/m3,8.461538461,%,97.9,%,578.156791675,m3/inhab/year
Antigua and Barbuda,2016,15862.651661,current US$/inhab,0.772,,106.279052709,US$/m3,8.461538461,%,97.9,%,574.179585707,m3/inhab/year
Antigua and Barbuda,2017,16110.556284,current US$/inhab,0.774,,109.836358252,US$/m3,8.461538461,%,97.9,%,570.682294582,m3/inhab/year
Antigua and Barbuda,2018,17527.169624,current US$/inhab,0.776,,117.821519672,US$/m3,8.461538461,%,97.9,%,567.524501779,m3/inhab/year
Antigua and Barbuda,2019,18319.45605,current US$/inhab,0.776,,125.097586056,US$/m3,8.461538461,%,97.9,%,564.499495207,m3/inhab/year
Antigua and Barbuda,2020,14788.395191,current US$/inhab,0.776,,98.083325414,US$/m3,8.461538461,%,97.9,%,561.167227834,m3/inhab/year
Antigua and Barbuda,2021,15245.818985,current US$/inhab,0.776,,99.072483288,US$/m3,8.461538461,%,97.9,%,557.826194231,m3/inhab/year
Argentina,2005,5134.876717,current US$/inhab,0.777,,10.871956798,US$/m3,9.348217078,%,97.3,%,22427.150345474,m3/inhab/year
Argentina,2006,5937.434934,current US$/inhab,0.801,,11.635185802,US$/m3,9.532879637,%,97.5,%,22196.29929449,m3/inhab/year
Argentina,2007,7266.384194,current US$/inhab,0.806,,12.292466808,US$/m3,9.717542196,%,97.7,%,21974.058603659,m3/inhab/year
Argentina,2008,9078.970895,current US$/inhab,0.81,,12.491999023,US$/m3,9.902204755,%,97.9,%,21757.089583545,m3/inhab/year
Argentina,2009,8267.539946,current US$/inhab,0.81,,11.811592502,US$/m3,10.086867314,%,98.1,%,21537.526308035,m3/inhab/year
Argentina,2010,10376.792179,current US$/inhab,0.818,,12.502065015,US$/m3,10.271529873,%,98.2,%,21319.644225882,m3/inhab/year
Argentina,2011,12768.514644,current US$/inhab,0.823,,13.057561535,US$/m3,10.456664077,%,98.4,%,21103.670117633,m3/inhab/year
Argentina,2012,13859.311731,current US$/inhab,0.823,,13.077722711,US$/m3,10.456664077,%,98.6,%,20886.545967075,m3/inhab/year
Argentina,2013,14469.003851,current US$/inhab,0.824,,13.363493754,US$/m3,10.456664077,%,98.8,%,20671.75708449,m3/inhab/year
Argentina,2014,13241.393384,current US$/inhab,0.825,,12.913456091,US$/m3,10.456664077,%,98.9,%,20461.397699527,m3/inhab/year
Argentina,2015,14908.621297,current US$/inhab,0.828,,13.540826632,US$/m3,10.456664077,%,99.1,%,20256.575428777,m3/inhab/year
Argentina,2016,12767.455355,current US$/inhab,0.828,,13.134487946,US$/m3,10.456664077,%,99.1,%,20065.841442984,m3/inhab/year
Argentina,2017,14609.78337,current US$/inhab,0.832,,13.653047438,US$/m3,10.456664077,%,99.1,%,19889.856717852,m3/inhab/year
Argentina,2018,11816.649537,current US$/inhab,0.83,,13.085469838,US$/m3,10.456664077,%,99.1,%,19729.093766692,m3/inhab/year
Argentina,2019,10006.69311,current US$/inhab,0.83,,12.739220828,US$/m3,10.456664077,%,99.1,%,19582.74258518,m3/inhab/year
Argentina,2020,8560.70994,current US$/inhab,0.83,,11.326557158,US$/m3,10.456664077,%,99.1,%,19456.421027501,m3/inhab/year
Argentina,2021,10761.081627,current US$/inhab,0.83,,12.63973464,US$/m3,10.456664077,%,99.1,%,19352.96635494,m3/inhab/year
Armenia,2005,1714.981938,current US$/inhab,0.694,,2.430174636,US$/m3,55.900746419,%,95.5,%,2549.515201595,m3/inhab/year
Armenia,2006,2249.646857,current US$/inhab,0.708,,2.293117655,US$/m3,57.030461973,%,96.1,%,2567.003448884,m3/inhab/year
Armenia,2007,3267.817097,current US$/inhab,0.724,,2.579324337,US$/m3,60.762557999,%,96.7,%,2585.880076275,m3/inhab/year
Armenia,2008,4168.591758,current US$/inhab,0.727,,3.057222375,US$/m3,57.958442606,%,97.3,%,2604.057556744,m3/inhab/year
Armenia,2009,3111.145697,current US$/inhab,0.724,,2.979096427,US$/m3,49.707484366,%,97.9,%,2620.858375817,m3/inhab/year
Armenia,2010,3351.797591,current US$/inhab,0.729,,3.427960847,US$/m3,42.888844059,%,98.4,%,2636.872843264,m3/inhab/year
Armenia,2011,3692.682224,current US$/inhab,0.733,,2.9002578,US$/m3,49.182973573,%,99.0,%,2652.462840255,m3/inhab/year
Armenia,2012,3643.715404,current US$/inhab,0.737,,2.585651029,US$/m3,59.330240065,%,99.7,%,2665.709586913,m3/inhab/year
Armenia,2013,3833.157072,current US$/inhab,0.743,,2.611090735,US$/m3,59.612668953,%,99.9,%,2677.686691011,m3/inhab/year
Armenia,2014,4017.229912,current US$/inhab,0.746,,2.781979049,US$/m3,57.69618721,%,100.0,%,2688.30040866,m3/inhab/year
Armenia,2015,3666.141826,current US$/inhab,0.748,,2.618940736,US$/m3,66.007665927,%,100.0,%,2698.886088526,m3/inhab/year
Armenia,2016,3679.952349,current US$/inhab,0.751,,2.719064649,US$/m3,64.192051644,%,100.0,%,2710.90275609,m3/inhab/year
Armenia,2017,4041.995071,current US$/inhab,0.758,,3.256115347,US$/m3,57.79705467,%,100.0,%,2724.126843537,m3/inhab/year
Armenia,2018,4391.923275,current US$/inhab,0.76,,3.56686753,US$/m3,54.750857373,%,100.0,%,2738.883794685,m3/inhab/year
Armenia,2019,4828.50489,current US$/inhab,0.76,,3.680547944,US$/m3,57.79705467,%,100.0,%,2754.376547985,m3/inhab/year
Armenia,2020,4505.867744,current US$/inhab,0.76,,3.509336754,US$/m3,57.090982449,%,100.0,%,2769.096751934,m3/inhab/year
Armenia,2021,4966.516675,current US$/inhab,0.76,,3.512827118,US$/m3,59.854750857,%,100.0,%,2783.616042285,m3/inhab/year
Australia,2005,37816.725882,current US$/inhab,0.902,,,,7.532448733,%,100.0,%,24390.569158393,m3/inhab/year
Australia,2006,40040.365099,current US$/inhab,0.905,,50.562381006,US$/m3,7.059368717,%,100.0,%,24038.66120292,m3/inhab/year
Australia,2007,47366.290524,current US$/inhab,0.908,,56.144856418,US$/m3,6.586288701,%,100.0,%,23618.84030726,m3/inhab/year
Australia,2008,49790.705545,current US$/inhab,0.922,,62.277030882,US$/m3,6.113208685,%,100.0,%,23155.258881677,m3/inhab/year
Australia,2009,46952.090523,current US$/inhab,0.923,,68.743967005,US$/m3,5.640128669,%,100.0,%,22713.746045177,m3/inhab/year
Australia,2010,59089.27994,current US$/inhab,0.926,,72.636802625,US$/m3,5.297547246,%,100.0,%,22344.16849901,m3/inhab/year
Australia,2011,69214.438015,current US$/inhab,0.928,,77.696713129,US$/m3,5.313630881,%,100.0,%,22006.496926202,m3/inhab/year
Australia,2012,69993.686203,current US$/inhab,0.932,,66.280976087,US$/m3,6.380377965,%,100.0,%,21646.098693275,m3/inhab/year
Australia,2013,66774.644595,current US$/inhab,0.926,,55.03985119,US$/m3,7.699236027,%,100.0,%,21287.843576925,m3/inhab/year
Australia,2014,62347.785915,current US$/inhab,0.929,,59.34389027,US$/m3,7.42380378,%,100.0,%,20963.307437257,m3/inhab/year
Australia,2015,52276.91216,current US$/inhab,0.933,,65.291196902,US$/m3,3.707277845,%,100.0,%,20654.707199375,m3/inhab/year
Australia,2016,54037.318654,current US$/inhab,0.935,,68.022577615,US$/m3,4.271411339,%,100.0,%,20334.190772154,m3/inhab/year
Australia,2017,57430.803787,current US$/inhab,0.937,,68.573381053,US$/m3,4.84866963,%,100.0,%,20007.861625629,m3/inhab/year
Australia,2018,58225.161704,current US$/inhab,0.938,,68.700892852,US$/m3,4.957780458,%,100.0,%,19696.363738994,m3/inhab/year
Australia,2019,54267.088204,current US$/inhab,0.938,,78.50542005,US$/m3,4.246079614,%,100.0,%,19402.796132218,m3/inhab/year
Australia,2020,55774.158298,current US$/inhab,0.938,,91.747984834,US$/m3,3.486127865,%,100.0,%,19166.303954753,m3/inhab/year
Australia,2021,66915.859206,current US$/inhab,0.938,,77.7342274,US$/m3,4.599919582,%,100.0,%,18980.684029132,m3/inhab/year
Austria,2005,38405.88962,current US$/inhab,0.855,,85.506359833,US$/m3,9.793796629,%,100.0,%,9444.472941281,m3/inhab/year
Austria,2006,40637.515347,current US$/inhab,0.861,,89.614177916,US$/m3,9.763746891,%,100.0,%,9397.947183537,m3/inhab/year
Austria,2007,46857.688033,current US$/inhab,0.881,,93.76190172,US$/m3,9.733697154,%,100.0,%,9367.402548271,m3/inhab/year
Austria,2008,51712.94949,current US$/inhab,0.884,,96.142469835,US$/m3,9.703647416,%,100.0,%,9337.672967773,m3/inhab/year
Austria,2009,47962.520804,current US$/inhab,0.886,,92.22580496,US$/m3,9.673597679,%,100.0,%,9313.269251169,m3/inhab/year
Austria,2010,46861.26507,current US$/inhab,0.895,,93.520179717,US$/m3,9.643547941,%,100.0,%,9291.114286804,m3/inhab/year
Austria,2011,51377.670667,current US$/inhab,0.897,,96.994172278,US$/m3,9.536090387,%,100.0,%,9259.700638764,m3/inhab/year
Austria,2012,48569.734877,current US$/inhab,0.899,,98.423297176,US$/m3,9.428632833,%,100.0,%,9217.478759761,m3/inhab/year
Austria,2013,50718.407333,current US$/inhab,0.896,,99.573098296,US$/m3,9.321175279,%,100.0,%,9163.233991848,m3/inhab/year
Austria,2014,51719.250904,current US$/inhab,0.904,,101.306640637,US$/m3,9.213717724,%,100.0,%,9091.902636839,m3/inhab/year
Austria,2015,44179.46845,current US$/inhab,0.906,,103.287401616,US$/m3,9.10626017,%,100.0,%,8990.536332354,m3/inhab/year
Austria,2016,45277.769463,current US$/inhab,0.909,,106.320734453,US$/m3,8.998802616,%,100.0,%,8893.734976084,m3/inhab/year
Austria,2017,47429.535836,current US$/inhab,0.912,,109.593403752,US$/m3,8.891345062,%,100.0,%,8832.058576668,m3/inhab/year
Austria,2018,51466.603137,current US$/inhab,0.914,,113.60813053,US$/m3,8.783887507,%,100.0,%,8789.082714996,m3/inhab/year
Austria,2019,50070.290576,current US$/inhab,0.914,,116.520232505,US$/m3,8.676429953,%,100.0,%,8750.059122021,m3/inhab/year
Austria,2020,48859.018137,current US$/inhab,0.914,,109.437413226,US$/m3,8.676429953,%,100.0,%,8722.714993876,m3/inhab/year
Austria,2021,53840.393296,current US$/inhab,0.914,,113.891788085,US$/m3,8.676429953,%,100.0,%,8708.729644045,m3/inhab/year
Azerbaijan,2005,1530.159338,current US$/inhab,0.681,,1.704903017,US$/m3,52.108633252,%,78.5,%,4005.782189189,m3/inhab/year
Azerbaijan,2006,2394.28099,current US$/inhab,0.707,,2.299434471,US$/m3,53.627732391,%,79.3,%,3956.818811247,m3/inhab/year
Azerbaijan,2007,3722.4484,current US$/inhab,0.712,,2.857373888,US$/m3,53.367189225,%,80.2,%,3905.541205515,m3/inhab/year
Azerbaijan,2008,5428.107664,current US$/inhab,0.721,,3.335650335,US$/m3,50.916317068,%,81.0,%,3852.907920445,m3/inhab/year
Azerbaijan,2009,4856.821881,current US$/inhab,0.734,,3.72536865,US$/m3,49.194082579,%,81.9,%,3802.238424637,m3/inhab/year
Azerbaijan,2010,5727.491818,current US$/inhab,0.732,,3.956653412,US$/m3,48.443364981,%,82.8,%,3753.842343168,m3/inhab/year
Azerbaijan,2011,7046.977807,current US$/inhab,0.731,,3.888092596,US$/m3,49.882976374,%,83.6,%,3704.984307108,m3/inhab/year
Azerbaijan,2012,7345.881105,current US$/inhab,0.736,,3.73397812,US$/m3,52.881430779,%,84.5,%,3655.550279709,m3/inhab/year
Azerbaijan,2013,7713.424796,current US$/inhab,0.741,,3.922758272,US$/m3,52.965334511,%,85.3,%,3606.540053449,m3/inhab/year
Azerbaijan,2014,7723.328299,current US$/inhab,0.746,,4.13474648,US$/m3,51.190108192,%,86.2,%,3559.37457657,m3/inhab/year
Azerbaijan,2015,5381.087076,current US$/inhab,0.749,,4.071880532,US$/m3,51.618458821,%,87.0,%,3515.493517501,m3/inhab/year
Azerbaijan,2016,3795.716287,current US$/inhab,0.749,,3.91793952,US$/m3,52.45308015,%,87.0,%,3475.755614736,m3/inhab/year
Azerbaijan,2017,4057.624007,current US$/inhab,0.752,,3.881797088,US$/m3,53.52174873,%,87.0,%,3442.8604804,m3/inhab/year
Azerbaijan,2018,4640.470544,current US$/inhab,0.754,,3.901106944,US$/m3,53.729300066,%,87.0,%,3415.407521402,m3/inhab/year
Azerbaijan,2019,4707.846978,current US$/inhab,0.754,,3.805089174,US$/m3,55.597262089,%,87.0,%,3388.628651547,m3/inhab/year
Azerbaijan,2020,4151.016373,current US$/inhab,0.754,,3.707590047,US$/m3,53.888628836,%,87.0,%,3371.430743812,m3/inhab/year
Azerbaijan,2021,5296.443212,current US$/inhab,0.754,,3.737187055,US$/m3,57.265886509,%,87.0,%,3362.263831873,m3/inhab/year
Bahamas,2005,28280.870835,current US$/inhab,0.791,,,,,,97.3,%,2012.627801865,m3/inhab/year
Bahamas,2006,28829.991153,current US$/inhab,0.794,,,,,,97.5,%,1984.89213529,m3/inhab/year
Bahamas,2007,29687.753379,current US$/inhab,0.794,,,,,,97.6,%,1957.133191301,m3/inhab/year
Bahamas,2008,29013.630287,current US$/inhab,0.794,,,,,,97.8,%,1929.464298019,m3/inhab/year
Bahamas,2009,27120.799224,current US$/inhab,0.793,,,,,,97.9,%,1901.879328474,m3/inhab/year
Bahamas,2010,27046.764826,current US$/inhab,0.795,,,,,,98.1,%,1875.308086328,m3/inhab/year
Bahamas,2011,26644.794285,current US$/inhab,0.795,,,,,,98.2,%,1852.096838206,m3/inhab/year
Bahamas,2012,28059.647098,current US$/inhab,0.797,,,,,,98.4,%,1832.168161629,m3/inhab/year
Bahamas,2013,27389.601971,current US$/inhab,0.797,,,,,,98.4,%,1815.11733437,m3/inhab/year
Bahamas,2014,28720.662193,current US$/inhab,0.796,,,,,,98.4,%,1798.880068666,m3/inhab/year
Bahamas,2015,30206.240435,current US$/inhab,0.799,,,,,,98.4,%,1782.544811903,m3/inhab/year
Bahamas,2016,29887.164879,current US$/inhab,0.8,,,,,,98.4,%,1767.783906095,m3/inhab/year
Bahamas,2017,30969.876197,current US$/inhab,0.804,,,,,,98.4,%,1754.298030174,m3/inhab/year
Bahamas,2018,31738.267157,current US$/inhab,0.805,,,,,,98.4,%,1741.700795708,m3/inhab/year
Bahamas,2019,32610.485049,current US$/inhab,0.805,,,,,,98.4,%,1730.287697407,m3/inhab/year
Bahamas,2020,23862.735595,current US$/inhab,0.805,,,,,,98.4,%,1722.140078874,m3/inhab/year
Bahamas,2021,27478.389629,current US$/inhab,0.805,,,,,,98.4,%,1716.081646262,m3/inhab/year
Bahrain,2005,17705.23894,current US$/inhab,0.792,,53.101824041,US$/m3,196.434169279,%,100.0,%,128.614368664,m3/inhab/year
